talent_rank1_spell_id|wow_class|talent_name|description_or_reason
11095|Mage|Improved Scorch|Increases your chance to critically hit with Scorch, Fireball and Frostfire Bolt by an additional $s2% and your damaging Scorch spells have a $h% chance to cause your target to be vulnerable to spell damage, increasing spell critical strike chance against that target by $22959s1% and lasts $22959d.
11237|Mage|Arcane Stability|Reduces the pushback suffered from damaging attacks while casting Arcane Missiles and Arcane Blast by $s1%.
14082|Rogue|Dirty Deeds|Reduces the Energy cost of your Cheap Shot and Garrote abilities by $s1. Additionally, your special abilities cause 10% more damage against targets below 35% health.
14128|Rogue|Lethality|Increases the critical strike damage bonus of all combo point-generating abilities that do not require stealth by $s1%.
14909|Priest|Searing Light|Increases the damage of your Smite, Holy Fire, Holy Nova and Penance spells by $s1%.
14910|Priest|Mind Melt|Increases the critical strike chance of your Mind Blast, Mind Flay and Mind Sear spells by $s1%, and increases the periodic critical strike chance of your Vampiric Touch, Devouring Plague and Shadow Word: Pain spells by $s2%.
14911|Priest|Healing Prayers|Reduces the mana cost of your Prayer of Healing and Prayer of Mending spell by $s1%.
14912|Priest|Improved Healing|Reduces the mana cost of your Lesser Heal, Heal, Greater Heal, Divine Hymn and Penance spells by $s1%.
16041|Shaman|Call of Thunder|Increases the critical strike chance of your Lightning Bolt, Chain Lightning and Thunderstorm spells by an additional $s1%.
16493|Warrior|Impale|Increases the critical strike damage bonus of your abilities by $s1%.
16757|Mage|Arctic Reach|Increases the range of your Frostbolt, Ice Lance, Deep Freeze and Blizzard spells and the radius of your Frost Nova and Cone of Cold spells by $s1%.
16845|Druid|Moonglow|Reduces the Mana cost of your Moonfire, Starfire, Starfall, Wrath, Healing Touch, Nourish, Regrowth and Rejuvenation spells by $s1%.
16858|Druid|Feral Aggression|Increases the attack power reduction of your Demoralizing Roar by $s1% and the damage caused by your Ferocious Bite by $s2%.
16934|Druid|Ferocity|Reduces the cost of your Maul, Swipe, Claw, Rake and Mangle abilities by $/10;s1 Rage or Energy.
16947|Druid|Feral Instinct|Increases the damage done by your Swipe ability by $s2% and reduces the chance enemies have to detect you while Prowling.
16998|Druid|Savage Fury|Increases the damage caused by your Claw, Rake, Mangle (Cat), Mangle (Bear), and Maul abilities by $s1%.
17063|Druid|Nature's Focus|Reduces the pushback suffered from damaging attacks while casting Healing Touch, Wrath, Entangling Roots, Cyclone, Nourish, Regrowth and Tranquility by $s1%.
17074|Druid|Nature's Bounty|Increases the critical effect chance of your Regrowth and Nourish spells by $s1%.
17783|Warlock|Fel Concentration|Reduces the pushback suffered from damaging attacks while casting Drain Life, Drain Mana, Drain Soul, Unstable Affliction, and Haunt by $s1%.
17810|Warlock|Improved Corruption|Increases the damage done by your Corruption by $s1%, and increases the critical strike chance of your Seed of Corruption by $s2%.
18213|Warlock|Improved Drain Soul|Returns $s3% of your maximum mana if the target is killed by you while you drain its soul. In addition, your Affliction spells generate $s2% less threat.
18218|Warlock|Grim Reach|Increases the range of your Affliction spells by $s1%.
18288|Warlock|Amplify Curse|Reduces the global cooldown of your Curses by ${$m2/-1000}.1 sec.
18427|Rogue|Aggression|Increases the damage of your Sinister Strike, Backstab, and Eviscerate abilities by $s1%.
18530|Priest|Divine Fury|Reduces the casting time of your Smite, Holy Fire, Heal and Greater Heal spells by $/1000;S1 sec.
19159|Hunter|Savage Strikes|Increases the critical strike chance of Raptor Strike, Mongoose Bite and Counterattack by $s1%.
19464|Hunter|Improved Stings|Increases the damage done by your Serpent Sting and Wyvern Sting by $s1% and the mana drained by your Viper Sting by $s2%. In addition, reduces the chance your Sting damage over time effects will be dispelled by $s3%.
20205|Paladin|Spiritual Focus|Reduces the pushback suffered from damaging attacks while casting Flash of Light and Holy Light by $s1%.
20216|Paladin|Divine Favor|When activated, gives your next Flash of Light, Holy Light, or Holy Shock spell a $s1% critical effect chance.
20224|Paladin|Seals of the Pure|Increases the damage done by your Seal of Righteousness, Seal of Vengeance and Seal of Corruption and their Judgement effects by $s1%.
20237|Paladin|Healing Light|Increases the amount healed by your Holy Light, Flash of Light and the effectiveness of Holy Shock spells by $s1%.
20359|Paladin|Sanctified Light|Increases the critical effect chance of your Holy Light and Holy Shock spells by $s1%.
24968|Druid|Tranquil Spirit|Reduces the mana cost of your Healing Touch, Nourish and Tranquility spells by $s1%.
25956|Paladin|Improved Judgements|Decreases the cooldown of your Judgement spells by $/1000;s1 sec.
27789|Priest|Holy Reach|Increases the range of your Smite and Holy Fire spells and the radius of your Prayer of Healing, Holy Nova, Divine Hymn and Circle of Healing spells by $s1%.
29787|Warrior|Focused Rage|Reduces the rage cost of your offensive abilities by $/10;s1.
30060|Warlock|Contagion|Increases the damage of Curse of Agony, Corruption and Seed of Corruption by $s1% and reduces the chance your helpful Affliction spells and damage over time effects will be dispelled by an additional $s3%.
31234|Rogue|Find Weakness|Offensive ability damage increased by $s1%.
31670|Mage|Ice Floes|Reduces the cooldown of your Frost Nova, Cone of Cold, Ice Block and Icy Veins spells by $s1%.
31825|Paladin|Purifying Power|Reduces the mana cost of your Cleanse, Purify and Consecration spells by $s1% and reduces the cooldown of your Exorcism and Holy Wrath spells by $s2%.
31879|Paladin|Fanaticism|Increases the critical strike chance of all Judgements capable of a critical hit by $s1% and reduces threat caused by all actions by $s2% except when under the effects of Righteous Fury.
32381|Warlock|Empowered Corruption|Increases the damage of your Corruption spell by an amount equal to $*6;s1% of your spell power.
